KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_O7KfC4q,@q0 @d1\nName is optional. \n@w2\nDepends if this <i><b>Human </b></i><color=#ffffff>makes itself one.</color>,,,,,,,,,,@q0 @d1\n名字是可选的。\n@w2\n取决于这个<i><b>人类</b></i><color=#ffffff>是否给自己取一个。</color>,,,,,,
dialogue_0CGeK8C,<color=#c0c0c0>The </color><color=#0080ff><b>Captain</b></color>,,,,,,,,,,<color=#c0c0c0>船长</color><color=#0080ff><b>Captain</b></color>,,,,,,
dialogue_qeumKim,"@q0 @d1\nWe should not stay here. - @w1  - Sensors are calm, but got <b><i>baad feelings</i></b>, and all that.\n@w2\nAnd <color=#ffffff>Galleon</color> is already exploding things.",,,,,,,,,,@q0 @d1\n我们不应该待在这里。- @w1  - 传感器平静，但有<b><i>不好的感觉</i></b>，诸如此类。\n@w2\n而且<color=#ffffff>Galleon</color>已经在引爆东西了。,,,,,,
dialogue_CKaCSiU,I will check ... <color=#ffffff>[Skip all]</color>,,,,,,,,,,我会检查……<color=#ffffff>[跳过全部]</color>,,,,,,
dialogue_3ui4We4,Why did you lock the Bunk door?,,,,,,,,,,你为什么锁上了舱门？,,,,,,
dialogue_O0GiWe4,"@q0 @d1 Then get going<i>, </i>Human.\n@w1\n<i><b>Earn </b>your ride.</i>\n@w1<i></i>\n... Your <color=#ffffff>home fleet </color>isn't waiting ...",,,,,,,,,,@q0 @d1 那就出发吧<i>，</i>人类。\n@w1\n<i><b>赢得</b>你的乘坐机会。</i>\n@w1<i></i>\n……你的<color=#ffffff>家乡舰队</color>不会等待……,,,,,,
dialogue_qW4i0i8,@q0 \n@d1 I will surely miss your<i> <b>art</b>...</i>,,,,,,,,,,@q0 \n@d1 我一定会想念你的<i><b>艺术</b>...</i>,,,,,,
dialogue_8AY8mMK,>>,,,,,,,,,,>>,,,,,,
dialogue_m4q88ea,@q0 @d1\nReally impressive.\n@w1\n... Maybe we can get into a <b>future cooperation </b>about this.,,,,,,,,,,@q0 @d1\n真的令人印象深刻。\n@w1\n……也许我们可以就此事进行<b>未来的合作</b>。,,,,,,
dialogue_8aG4GGW,The fleet... <i>How long</i> did you know about it ?!,,,,,,,,,,舰队……<i>你知道多久了</i>？！,,,,,,
dialogue_0OeqSq9,@q0 @d1\nNo matter. @w1 Still impressive.\n@w1\n... Maybe we can get into a <b>future cooperation </b>about this.,,,,,,,,,,@q0 @d1\n没关系。@w1 仍然令人印象深刻。\n@w1\n……也许我们可以就此事进行<b>未来的合作</b>。,,,,,,
dialogue_8iu4iGi,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_uMuGiqm,@q0 @d1\nYour kind is really hard to track down. \n@w1\nAs if it would be<b> on the run</b> ...?\n@w2\n... Who knows when we can finally <i><color=#ffffff>catch up</color></i> ...,,,,,,,,,,@q0 @d1\n你们这类生物真的很难追踪。\n@w1\n好像它是<b>在逃跑</b>……？\n@w2\n……谁知道我们什么时候能最终<i><color=#ffffff>追上</color></i>……,,,,,,
dialogue_mKCKO40,Another painting ?,,,,,,,,,,另一幅画？,,,,,,
dialogue_CaiGGKa,@q0 @d1\nJust ... \n@w1 One.\n@w3\n- Now <i>please</i><color=#ffffff> help Galleon</color> ! We carry explosives to shred a Battlecruiser...,,,,,,,,,,@q0 @d1\n只是……\n@w1 一个。\n@w3\n- 现在<i>请</i><color=#ffffff>帮助Galleon</color>！我们携带炸药去摧毁一艘战列巡洋舰……,,,,,,
dialogue_mEi88ui,"@q0 @d1\nThey are in a system nearby. @w1 \nSeems, they ran into some <color=#ffffff>Zirax </color>... ?\n@w2\n... Lots of <b><i>explosions </i></b>...",,,,,,,,,,@q0 @d1\n 他们在附近的一个星系。@w1 \n 看来，他们遇到了一些 <color=#ffffff>兹瑞克斯 </color>... ?\n@w2\n... 很多 <b><i>爆炸 </i></b>...,,,,,,
dialogue_GmWKm4G,>>,,,,,,,,,,>>,,,,,,
dialogue_Wi8au4W,"@q0 @d1\nOh, it was locked ... ?",,,,,,,,,,@q0 @d1\n哦，它被锁了... ?,,,,,,
dialogue_DuuaWiq,Yes.,,,,,,,,,,是的。,,,,,,
dialogue_SuOWSOq,@q0 @d1\nThis is a <b>dangerous </b>space.,,,,,,,,,,@q0 @d1\n这是一个 <b>危险 </b>的空间。,,,,,,
dialogue_mKmmOOC,<i>( Just wait and look at him )</i>,,,,,,,,,,<i>( 等等，看着他 )</i>,,,,,,
dialogue_OC8Smea,@q0 @d1\nIt's for your <b>own protection.</b>,,,,,,,,,,@q0 @d1\n这是为了你的 <b>自身保护。</b>,,,,,,
dialogue_iKOpWi4,<i>( Wait )</i>,,,,,,,,,,<i>( 等待 )</i>,,,,,,
dialogue_c4ak8aK,What is it?,,,,,,,,,,这是什么？,,,,,,
dialogue_u0qKmWq,@q0 @d1 Got back to your senses? @w1 Good.\nWe need to move.,,,,,,,,,,@q0 @d1 恢复理智了？@w1 很好。\n我们得走了。,,,,,,
dialogue_Sqom8gi,<color=#c0c0c0>The</color> <color=#0080ff><b>Captain</b></color>,,,,,,,,,,<color=#c0c0c0>这个</color> <color=#0080ff><b>船长</b></color>,,,,,,
dialogue_C8eq0Ce,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_meeCqie,@q0 @d1\n- Opening hangar doors.,,,,,,,,,,@q0 @d1\n- 正在打开机库门。,,,,,,
dialogue_mmm2g0q,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_eGuuu7m,@q0 @d1 \n... You said you were a<color=#ffffff> soldier pilot </color>?\n@w1\nAre all humans as <b>Creative </b>as you ...?<i></i>,,,,,,,,,,@q0 @d1 \n... 你说你是一个<color=#ffffff>士兵飞行员 </color>？\n@w1\n 所有人类都像你一样 <b>有创造力 </b>...？<i></i>,,,,,,
dialogue_OG4G06v,Many are.,,,,,,,,,,很多是。,,,,,,
dialogue_28aauec,Some...,,,,,,,,,,一些...,,,,,,
dialogue_GWGq8a4,All of them. But each one differently.,,,,,,,,,,所有的。但每一个都不一样。,,,,,,
dialogue_OCS0K0K,I'm not much Creative.,,,,,,,,,,我不太有创造力。,,,,,,
dialogue_i4qGeqi,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_Ci4GC4k,@q0 @d1\n-<color=#ffff00> Armor locker</color> is to your left.,,,,,,,,,,@q0 @d1\n-<color=#ffff00> 装甲柜</color> 在你的左边。,,,,,,
dialogue_G8mqu8e,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_asqiSm4,Found the leak. - A block is not airtight.,,,,,,,,,,发现了泄漏。 - 一个方块不是密封的。,,,,,,
dialogue_CeeOGmq,"I found the leak. - <i>And</i>, your hidden stash.",,,,,,,,,,我发现了泄漏。 - <i>还有</i>，你隐藏的藏匿处。,,,,,,
dialogue_KOalue0,"@q0 @d1 Broke the last good drill. Now there just the <b><color=#ff8000>Cursed Tool</color></b> left.\n@w1\nI will not touch that...\n@w1\nBut for <b>Squishies </b>like you, it will be good.",,,,,,,,,,@q0 @d1 弄坏了最后一个好钻头。现在只剩下 <b><color=#ff8000>被诅咒的工具</color></b> 了。\n@w1\n 我不会碰那个...\n@w1\n 但对于像你这样的 <b>软体动物 </b>来说，它会很好。,,,,,,
dialogue_KCpaOq8,... Cursed ...?,,,,,,,,,,... 被诅咒了...？,,,,,,
dialogue_80iiWKm,"Ok, will do. <i> <color=#ffffff>[Leave]</color></i>",,,,,,,,,,好的，会做的。 <i> <color=#ffffff>[离开]</color></i>,,,,,,
dialogue_AqmSm80,@q0 @d1 Captain likes it.\n@w1\n I cannot comprehend.\n@w1\nOne of his more ... @w1 <color=#ffffff>strange 'collections'</color>. @w1 I suppose... @w1...,,,,,,,,,,@q0 @d1 船长喜欢它。\n@w1\n 我无法理解。\n@w1\n 这是他更... @w1 <color=#ffffff>奇怪的“收藏”</color>之一。@w1 我想... @w1...,,,,,,
dialogue_OigeOqs,<i>(( Is Galleon staring at me ...? ))</i>,,,,,,,,,,<i>(( 盖伦船在盯着我吗...？ ))</i>,,,,,,
dialogue_jqKm8aW,@q0 @d1 It talks. \n@w1\nA lot.\n@w1\nIn my head.,,,,,,,,,,@q0 @d1 它说话。\n@w1\n很多。\n@w1\n在我的脑海里。,,,,,,
dialogue_GSaWesK,"@q0 @d1 I finally made a <color=#ffffff>farm</color>. \n@w1\nIt is <i><b>perfect</b></i>. @w2 \nSprouts have all it needs. Pots, Light. @w1\nBut it does not work. @w1 Why.",,,,,,,,,,@q0 @d1 我终于建了一个<color=#ffffff>农场</color>。\n@w1\n它是<i><b>完美的</b></i>。@w2 \n芽苗拥有它需要的一切。盆子，光线。@w1\n但它不工作。@w1 为什么。,,,,,,
dialogue_u8aqeuu,You are frustrated again. You are exploding things.,,,,,,,,,,你又沮丧了。你在炸东西。,,,,,,
dialogue_8acmKCu,>>,,,,,,,,,,>>,,,,,,
dialogue_Cua8W8e,"@q0 @d1 Find out what hinders the plant's construction process.\n@w2 \nFarm has <b>no oxygen.</b> @w1 <color=#ffffff><color=#ffff00>Suit up</color>. </color>\n@w1 - Put on an a<b> spacewalk</b> <color=#ffffff>booster</color>, too.",,,,,,,,,,@q0 @d1 查明阻碍植物建造过程的原因。\n@w2 \n农场<b>没有氧气。</b> @w1 <color=#ffffff><color=#ffff00>穿上宇航服</color>。 </color>\n@w1 - 也穿上一个<b>太空行走</b> <color=#ffffff>助推器</color>。,,,,,,
dialogue_CaGCame,Ok. <i><color=#ffffff>[End]</color></i>,,,,,,,,,,好的。 <i><color=#ffffff>[结束]</color></i>,,,,,,
dialogue_e0mO674,@q0 @d1\nYou again.,,,,,,,,,,@q0 @d1\n你又来了。,,,,,,
dialogue_GKYGqaK,Galleon,,,,,,,,,,盖伦船,,,,,,
dialogue_W4Ga8me,The Human...,,,,,,,,,,人类...,,,,,,
dialogue_ee8qaOm,"I do have a name, you know...?",,,,,,,,,,我也有名字，你知道...？,,,,,,
dialogue_uqqaq0q,What is it...?,,,,,,,,,,这是什么...？,,,,,,
dialogue_oSOi8CC,@q0 The Human...,,,,,,,,,,@q0 人类...,,,,,,
dialogue_KOimaSe,Galleon,,,,,,,,,,盖伦船,,,,,,
dialogue_Gi44quK,It's open to <i>space</i>...? No wonder it does not grow!,,,,,,,,,,它对<i>太空</i>...？？难怪它不生长！,,,,,,
dialogue_iuaaiul,"@q0 @d1 I know.\n\n@w1 You have that sensor in your squishy skull. @w1\nIt will help you, to find the <color=#ffffff>leak</color>.",,,,,,,,,,@q0 @d1 我知道。\n\n@w1 你那个传感器就在你那软软的头骨里。@w1\n它会帮助你，找到<color=#ffffff>漏洞</color>。,,,,,,
dialogue_4ma4eY0,Don't you have one yourself?,,,,,,,,,,你自己没有一个吗？,,,,,,
dialogue_0uqKmew,"Ok, let's go. <i><color=#ffffff>[End]</color></i>",,,,,,,,,,好的，我们走吧。 <i><color=#ffffff>[结束]</color></i>,,,,,,
dialogue_O4aSaS4,"@q0 @d1 \nMine <b>broke </b>years ago.\n\n@w2 In this profession, hull breaches are very<i> easy</i> to spot.",,,,,,,,,,@q0 @d1 \n我的矿机<b>几年前就</b>坏了。\n\n@w2 在这个行业里，船体破裂很容易<i>发现</i>。,,,,,,
dialogue_4CG8SGe,"Ok, let's go.",,,,,,,,,,好的，我们走吧。,,,,,,
dialogue_OOS0S0e,<color=#ffffff><b>Fleet Command</b></color>,,,,,,,,,,<color=#ffffff><b>舰队指挥部</b></color>,,,,,,
dialogue_USqCJKC,<color=#ff8000><b>Galleon</b></color>,,,,,,,,,,<color=#ff8000><b>盖伦船</b></color>,,,,,,
dialogue_iLOq5CK,@q0 @d1\nIt's effort-adjusted salary.,,,,,,,,,,@q0 @d1\n这是按努力程度调整的薪水。,,,,,,
dialogue_uLKG0i4,>>,,,,,,,,,,>>,,,,,,
dialogue_eG08qmO,"@q0 @d1\nYou will see for yourself. @w1\nIt is outside, waiting in a box.",,,,,,,,,,@q0 @d1\n你自己会看到的。@w1\n它在外面，在一个盒子里等着。,,,,,,
dialogue_84Ku6CO,... How did you find the fleet?,,,,,,,,,,... 你是怎么找到舰队的？,,,,,,
dialogue_iSeCei8,@q0 @d1\n\nJust the usual. \n@w1 Signals. @w1 Contacts. @w1 Rumors...,,,,,,,,,,@q0 @d1\n\n只是平常的事情。\n@w1 信号。@w1 联系人。@w1 谣言...,,,,,,
dialogue_4CaeOSw,>>,,,,,,,,,,>>,,,,,,
dialogue_iqSC80u,@q0 @d1\n\n... Offers on Slave market. @w1 Exotics black market. @w1 Morgues. @w1 <i>Zoos...</i>,,,,,,,,,,@q0 @d1\n\n... 奴隶市场上的报价。@w1 异国情调的黑市。@w1 太平间。@w1 <i>动物园...</i>,,,,,,
dialogue_iiqu8ru,In a grand mood today...?,,,,,,,,,,今天心情很好...？,,,,,,
dialogue_0SmiGWm,This ship has no holding cells.,,,,,,,,,,这艘船没有拘留室。,,,,,,
dialogue_YeUWeq4,"@q0 @d1\nYeah. @w2 \n\nI would preferto sell <b>exotic art</b>, instead of exotic people.",,,,,,,,,,@q0 @d1\n是的。@w2 \n\n我更愿意出售<b>异国艺术</b>，而不是异国人。,,,,,,
dialogue_KAOmWWi,>>,,,,,,,,,,>>,,,,,,
dialogue_okWWa0S,@q0 @d1\nSome of your stuff could go into a <color=#ffffff>Polaris board</color> meeting room. \n@w2\nThey like it 'quaint'.,,,,,,,,,,@q0 @d1\n你的一些物品可以放入<color=#ffffff>北极星董事会</color>会议室。\n@w2\n他们喜欢它'古色古香'。,,,,,,
dialogue_C8ma04K,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_iQSaK8G,"@q0 @d1\nSo, listen up, both of you. \n\n@w1- <i><color=#ffffff>Ship's been hit</color>,</i> @w1 - wrong spot, @w1 - <b>all tragic</b>.\n\n@w1- <color=#ffffff>Ammo is cooking</color> off.",,,,,,,,,,"@q0 @d1\n那么，听好了，你们两个。\n\n@w1- <i><color=#ffffff>飞船被击中了</color>,</i> @w1 - 错误的位置，@w1 - <b>一切都很悲惨</b>。\n\n@w1- <color=#ffffff>弹药正在烹饪</color>。",,,,,,
dialogue_uCCIso2,>>,,,,,,,,,,>>,,,,,,
dialogue_vSmQKim,"@q0 @d1\nYou don't trust me, I don't trust <i>anyone,</i> - @w1 - <color=#ffffff>We have to LEAVE</color>, NOW.",,,,,,,,,,@q0 @d1\n你不相信我，我也不信任<i>任何人，</i> - @w1 - <color=#ffffff>我们必须现在就离开</color>。,,,,,,
dialogue_CO8sWG4,>>,,,,,,,,,,>>,,,,,,
dialogue_qGSq8ia,"@q0 @d1 \nWait,<i> what the</i> – @w1  - <b>Galleon</b>?!",,,,,,,,,,@q0 @d1 \n等等，<i>这是什么</i> – @w1  - <b>加利恩</b>？！,,,,,,
dialogue_G80B0CS,>>,,,,,,,,,,>>,,,,,,
dialogue_aS00Yu4,@q0 @d1 \nCurse you ...,,,,,,,,,,@q0 @d1 \n诅咒你 ...,,,,,,
dialogue_8q4KgOC,>>,,,,,,,,,,>>,,,,,,
dialogue_OukSqSa,"@q0 @d1 \n- Human, @w1 the <b>ship is lost</b>. @w1 <color=#ffffff>Get to the teleporter ! </color>\n@w1\n<i>Meet you at the other side</i>… !",,,,,,,,,,@q0 @d1 \n- 人类，@w1 飞船<b>丢失</b>了。@w1 <color=#ffffff>快去传送装置！ </color>\n@w1\n<i>在另一边见</i>… ！,,,,,,
dialogue_GqC4Kem,<i>(( Transmission End</i> <i>))</i>,,,,,,,,,,<i>(( 传输结束</i> <i>))</i>,,,,,,
dialogue_8CYCqC6,<color=#ff8000>(( <b>Galleon</b> ))</color>,,,,,,,,,,<color=#ff8000>(( <b>加利恩</b> ))</color>,,,,,,
dialogue_xS4US00,>>,,,,,,,,,,>>,,,,,,
dialogue_WqSmB8S,>>,,,,,,,,,,>>,,,,,,
dialogue_i0GYwmm,<color=#c0c0c0>Ex-</color><b><color=#0080ff>Captain</color></b>,,,,,,,,,,<color=#c0c0c0>前</color><b><color=#0080ff>船长</color></b>,,,,,,
dialogue_eiWiWi8,"@q0 @d1 \n<b>Welcome back</b>, Soldier!\n\n@w1 These two... <i><color=#ffffff>local Traders</color></i>  here, insist that you can navigate us out of this battle.\n\n@w1 And we are running out of <b>options</b>.",,,,,,,,,,@q0 @d1 \n<b>欢迎回来</b>，士兵！\n\n@w1 这两位... <i><color=#ffffff>当地商人</color></i> 坚持认为你可以带领我们走出这场战斗。\n\n@w1 我们的<b>选择</b>正在耗尽。,,,,,,
dialogue_W4KWa8e,<i>[ Exit & Main <color=#ffffff>Pilot seat unlocked</color> ]</i>,,,,,,,,,,<i>[ 退出 & 主 <color=#ffffff>飞行员座位解锁</color> ]</i>,,,,,,
dialogue_GKai0aK,@q0 @d1\n... Then <color=#ffff00>take your seat</color>.\n@w1\n Get us out of here.,,,,,,,,,,@q0 @d1\n... 然后<color=#ffff00>坐下</color>。\n@w1\n带我们离开这里。,,,,,,
dialogue_uaSCq40,@q0 @d1 Farm lost too much <b>oxygen</b>.\n@w1\nGo outside.<color=#ffffff> Collect Ice.  </color>\nOne-hundred units. We need that.,,,,,,,,,,@q0 @d1 农场失去了太多的<b>氧气</b>。\n@w1\n出去。<color=#ffffff>收集冰。</color>\n一百个单位。我们需要那个。,,,,,,
dialogue_4iSuS8i,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_OCa8C0a,"@q0 @d1 \n@w1 For a moment, there, your <color=#ffffff>skin </color>looked so much<color=#ffffff> <i>healtiher</i></color>...!\n\n@w1 But you were making all those strange noises and gestures...",,,,,,,,,,@q0 @d1 \n@w1 有那么一刻，你的<color=#ffffff>皮肤 </color>看起来如此<color=#ffffff> <i>健康</i></color>...！\n\n@w1 但是你发出了所有那些奇怪的声音和手势...,,,,,,
dialogue_suaKiB8,"@q0 @d1 \nGalleon doesn't tell... but he is <b>worried</b>.\n\n@w1 That it might have <b>done you a bit too good</b>, there.",,,,,,,,,,@q0 @d1 \n加利恩没有说... 但他很<b>担心</b>。\n\n@w1 那可能对你来说<b>有点太好了</b>。,,,,,,
dialogue_u00Ciqu,"@q0 @d1\nBut you are back. And your <b>head-fur</b> has ever been growing!\n<i></i>\n- ... You do <color=#ffffff>remember</color> all this, yes...?",,,,,,,,,,@q0 @d1\n但是你回来了。你的<b>头部毛发</b>一直在生长！\n<i></i>\n- ... 你确实<color=#ffffff>记得</color>这一切，对吧...？,,,,,,
dialogue_umCuWiS,Yes,,,,,,,,,,是的,,,,,,
dialogue_iWm4KqW,Totally,,,,,,,,,,完全同意,,,,,,
dialogue_8mWKisq,Of course!,,,,,,,,,,当然！,,,,,,
dialogue_o8OaWQS,All clear.,,,,,,,,,,一切正常。,,,,,,
dialogue_WrWCaKW,"@q0 @d1\nGreat. @w1\n\nThen<b> lets do this </b>here. \nWe deliver our cargo. Then we all can stop and relax at a nice beach, or something...",,,,,,,,,,@q0 @d1\n太好了。@w1\n\n那么<b>让我们在这里完成 </b>。\n我们交付我们的货物。然后我们都可以停下来，在美丽的海滩上放松一下，或者类似的事情...,,,,,,
dialogue_4WWeeqW,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_ee0WqG0,@q0 @d1\n- Your <color=#ffffff>human <b>fleet</b></color>. \n@w1 I think we found it. - Nearby.,,,,,,,,,,@q0 @d1\n- 你的<color=#ffffff>人类 <b>舰队</b></color>。\n@w1 我想我们找到了。- 在附近。,,,,,,
dialogue_aau4SaW,>>,,,,,,,,,,>>,,,,,,
dialogue_aq8KO4D,>>,,,,,,,,,,>>,,,,,,
dialogue_8Smmm0a,"@q0 @d1 \nIt was just a delicious <b>alien spike lemon!</b> <i>- - Sharpens the mind!</i>\n\n- Galleon had to <b>tap you</b> a bit.. ,  to get you <b>calm </b>again.",,,,,,,,,,@q0 @d1 \n只是一颗美味的<b>外星尖刺柠檬！</b> <i>- - 使头脑敏锐！</i>\n\n- 加利恩不得不<b>敲击你</b>一下.. ，让你再次<b>冷静</b>下来。,,,,,,
dialogue_C7CmCei,'Tapped' ? - Seems more like 'closed fracture' ...,,,,,,,,,,'敲击' ? - 看起来更像是'闭合性骨折' ...,,,,,,
dialogue_CmYa4Km,>>,,,,,,,,,,>>,,,,,,
