KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_qn0EsS0,'Spike lemon' ... I don't feel so well ...,,,,,,,,,,'尖刺柠檬' ... 我感觉不太舒服...,,,,,,
dialogue_aiOmaOI,"@q0 @d1\n- Now <i>please</i><color=#ffffff> <color=#ffff00>help Galleon</color></color>, before he <b>triggers</b> our cargo ... !",,,,,,,,,,@q0 @d1\n- 现在<i>请</i><color=#ffffff> <color=#ffff00>帮助加利恩</color></color>，在他<b>触发</b>我们的货物之前... !,,,,,,
dialogue_a0SW8e8,"@q0 @d1\n... @w1  <color=#ffffff>Curse </color>you!\n@w1\nWhy, Human, you do <b>know </b>me<b> <i>this good</i></b> already ... ?",,,,,,,,,,@q0 @d1\n... @w1  <color=#ffffff>诅咒 </color>你！\n@w1\n为什么，人类，你已经这么<b>了解 </b>我<b> <i>了</i></b>... ？,,,,,,
dialogue_OiSCKOS,>>,,,,,,,,,,>>,,,,,,
dialogue_eqaaSeI,"@q0 @d1 \nThen, get going<i>, </i>Human. @w1\n<i><b>Earn </b>your ride.</i>\n@w1<i></i>\nOne day, we might <b>find </b>your <color=#ffffff>home fleet</color> .",,,,,,,,,,@q0 @d1 \n那么，开始行动吧<i>，</i>人类。@w1\n<i><b>赢得</b>你的飞船。</i>\n@w1<i></i>\n总有一天，我们可能会<b>找到</b>你的<color=#ffffff>家乡舰队</color>。,,,,,,
dialogue_GuCOiOi,... What happened to me?,,,,,,,,,,... 我发生了什么事？,,,,,,
dialogue_eSOiqia,Where is the fleet now ?,,,,,,,,,,舰队现在在哪里？,,,,,,
dialogue_WieGmq0,(...),,,,,,,,,,(...),,,,,,
dialogue_8UeaqaX,>>,,,,,,,,,,>>,,,,,,
dialogue_Km18umu,"... There is a <b>problem</b> with that, right?",,,,,,,,,,... 那不是<b>有问题</b>，对吧？,,,,,,
dialogue_Cii4qUC,@q0 @d1 \n'Connecting to subspace network ...'\n@w1 <i>- </i>'Successful. Your Network ID is ...' - \n@w1 - [ <b>Incoming call</b> detected ],,,,,,,,,,@q0 @d1 \n'正在连接到亚空间网络 ...'\n@w1 <i>- </i>'成功。你的网络ID是 ...' - \n@w1 - [ <b>检测到来电</b> ],,,,,,
dialogue_aW0aC8q,>>,,,,,,,,,,>>,,,,,,
dialogue_CRQC8Ae,"@q0 @d1  \n<i>- <color=#ffffff>Human</color>, is that you ... ?!</i>\n@w1 <i>Incredible! - <color=#ffffff>You made it</color>! </i>\n@w1 <i>But - <b>how.</b>..</i>",,,,,,,,,,@q0 @d1  \n<i>- <color=#ffffff>人类</color>，那是你吗... ？！</i>\n@w1 <i>难以置信！ - <color=#ffffff>你做到了</color>！</i>\n@w1 <i>但是 - <b>怎么做到的</b>..</i>,,,,,,
dialogue_i4mGq8W,>>,,,,,,,,,,>>,,,,,,
dialogue_GeWW0qW,"@q0 @d1 \n<i>- talk to you later. -  @w1 - Oh, and if you <color=#ff8000>warp back</color>,  just try to avoid the local Zirax !\nGalleon, if you would be so kind - ...</i>  <i></i><color=#ffffff>[ Explosions ]</color>",,,,,,,,,,@q0 @d1 \n<i>- 待会再聊。 - @w1 - 哦，如果你<color=#ff8000>翘曲回来</color>，尽量避开当地的兹瑞克斯！\n加利恩，如果你愿意的话 - ...</i>  <i></i><color=#ffffff>[ 爆炸声 ]</color>,,,,,,
dialogue_QmI8a04,>>,,,,,,,,,,>>,,,,,,
dialogue_aCu4880,\n@q0 @d1 @w1 ...\n@w1 <i>'</i>Timeout reached. <b>Connection failed</b> after 1500 retries. - Stopping.',,,,,,,,,,\n@q0 @d1 @w1 ...\n@w1 <i>'</i>超时已到。<b>连接失败</b>，在1500次重试后 - 停止。',,,,,,
dialogue_r4Kue4O,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[ 离开控制台 ]</i>,,,,,,
dialogue_8mh8iwK,@d1 \n<i>'Cannot re-establish connection. Network failure. - Stopping.'</i>,,,,,,,,,,@d1 \n<i>'无法重新建立连接。网络故障。 - 停止。'</i>,,,,,,
dialogue_Cqaia0W,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[ 离开控制台 ]</i>,,,,,,
dialogue_Ki0Km8C,<color=#c0c0c0>Console</color>,,,,,,,,,,<color=#c0c0c0>控制台</color>,,,,,,
dialogue_LiK4W8K,>>,,,,,,,,,,>>,,,,,,
dialogue_GSO4uqK,"@q0 @d1  \n<i>... <b>How </b>did you even end up </i>@w1 <i> ... in <b>that system</b> ?  - Spaceship teleporters don't reach that far?!</i>\n\n@w1 <i>No matter. - <color=#ffff00>Get on a ship</color>, ... somehow? And we'll <color=#ffff00>meet up</color> back here at '<color=#ffffff>Heka Artemis</color>' star system. </i>\n@w1 <i>Your fleet is here.</i>",,,,,,,,,,@q0 @d1 \n<i>... <b>你究竟是怎么</b> 来到 </i>@w1 <i> ... <b>那个星系</b> 的？ - 宇宙飞船的传送装置达不到那么远？！</i>\n\n@w1 <i>没关系。 - <color=#ffff00>登上一艘飞船</color>，... 无论如何？然后我们会 <color=#ffff00>在这里会合</color> 在 '<color=#ffffff>Heka Artemis</color>' 星系。</i>\n@w1 <i>你的舰队在这里。</i>,,,,,,
dialogue_aqK8SGK,Ready.,,,,,,,,,,准备就绪。,,,,,,
dialogue_ewqCiGC,Yes.,,,,,,,,,,是的。,,,,,,
dialogue_Ou88eGK,Of course,,,,,,,,,,当然可以,,,,,,
dialogue_u5Gqaqu,@q0 @d1 \nYour profile lists you as <b>pilot</b>... \n\n@w1 ... Are you still able to<color=#ffffff> <color=#ffff00>fly</color> <color=#ffff00>such a vessel</color></color> ?,,,,,,,,,,@q0 @d1 \n你的个人资料将你列为<b>飞行员</b>... \n\n@w1 ... 你仍然能够<color=#ffffff> <color=#ffff00>驾驶</color> <color=#ffff00>这样的飞船</color></color> 吗？,,,,,,
dialogue_YCmwOWu,Totally,,,,,,,,,,完全,,,,,,
dialogue_ueSiaOO,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_CmeWsGG,"@q0 @d1\nPilot seat, at the front.",,,,,,,,,,@q0 @d1\n飞行员座位，在前面。,,,,,,
dialogue_KNSiOue,"@d1 \nGreetings, {PlayerName}\n\n@w1 So, you made it.\n\n@w1 You <u><i>are</i></u> a <color=#ffffff>pilot</color>, right...?",,,,,,,,,,@d1 \n问候，{PlayerName}\n\n@w1 所以，你做到了。\n\n@w1 你<u><i>是</i></u>一个<color=#ffffff>飞行员</color>，对吧...?,,,,,,
dialogue_4bOMC8k,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_Y0mQG08,@w1\n{PlayerName} !\n\n@w1 Glad to see you again. And in good health.\n... We have waited for you.,,,,,,,,,,@w1\n{PlayerName} !\n\n@w1 很高兴再次见到你。而且你看起来很健康。\n... 我们一直在等你。,,,,,,
dialogue_C8Kmama,@w1\nHow the times have changed...,,,,,,,,,,@w1\n时光荏苒...,,,,,,
dialogue_W8ameue,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_xqmeW60,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_OWeamee,"@w1\nI'll just ... @w1 find a safe spot, while you <color=#ffffff>fly this thing.</color>",,,,,,,,,,@w1\n我就... @w1 找个安全的地方，而你<color=#ffffff>驾驶这个东西。</color>,,,,,,
dialogue_OKcmdii,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_0S8aS4i,<i>[ Leave ]</i>,,,,,,,,,,<i>[ 离开 ]</i>,,,,,,
dialogue_aSiMmKm,@d0\n<color=#ff80ff>(Here be building help info)</color>,,,,,,,,,,@d0\n<color=#ff80ff>（这里是建筑帮助信息）</color>,,,,,,
dialogue_OaOWDue,@d1 \n'Cannot access network.\nConnection has been manually severed. ',,,,,,,,,,@d1 \n'无法访问网络。\n连接已被手动切断。',,,,,,
dialogue_q2WeCu8,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[ 离开控制台 ]</i>,,,,,,
dialogue_Ciu4CKq,@q0 @d1\nWas I not clear ... ?,,,,,,,,,,@q0 @d1\n我刚才说的不够清楚吗... ?,,,,,,
dialogue_aak4umU,Console,,,,,,,,,,控制台,,,,,,
dialogue_qGG4aBu,@d1\nQuery?,,,,,,,,,,@d1\n查询？,,,,,,
dialogue_CK88ciK,<i>[ Check last messages ]</i>,,,,,,,,,,<i>[ 查看最后的消息 ]</i>,,,,,,
dialogue_8KVq00m,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[ 离开控制台 ]</i>,,,,,,
dialogue_Kq4auW8,@d1\nMessage date...\n\n- This is Rescue. Hearing you loud and clear. \n@w1\n- Understood. - Please keep calm. You are safe now.,,,,,,,,,,@d1\n消息日期...\n\n- 这里是救援。我听得很清楚。\n@w1\n- 明白了。- 请保持冷静。你现在安全了。,,,,,,
dialogue_Kmaueaq,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[ 离开控制台 ]</i>,,,,,,
dialogue_OqSGKiq,>>,,,,,,,,,,>>,,,,,,
dialogue_CSiKK88,"Message date...\n- This is Rescue. Hearing you loud and clear. \n- Understood. - Please keep calm. You are safe now.\n\nMessage date...\n- We have an urgent request from MissionOps.\n- Repeat, this is an A-1 case.\nPlease see file. <i>[Attachment missing]</i>\n\nMessage date...\n- Confirmed, network is offline. Well done.\n- Pickup will take a bit longer, until the Code sappers are free. \n\nMessage date...\n- We apologize for not calling back sooner. The whole star cluster has been listed for quarantine. \n- Yes. Just leave this mess as it is.  - And, the AI Dev unit wants to have a talk. \n- No. Just to know, what they might be getting into.\n\nMessage date...\n- This is it - - we organized a local transport. Called '<b>Taurus</b>'.\nCollection point is at northern Nest base. Get there asap. \nBlueprint for a cheap Hover Vessel is at the end of this message. Spawn it with the Factory.  <i>[Attachment missing]</i>\n\n- Yes. But really well paid ones. - Don't worry.\n\nMessage date...\n- A Zirax Battlecuiser is headed for in-system. The whole set, together with a Dronebase Teleporter Lens.\nWhat is the status of your Hover Vessel?\n\n(( End of Messages ))",,,,,,,,,,消息日期...\n- 这里是救援。我听得很清楚。\n- 明白了。- 请保持冷静。你现在安全了。\n\n消息日期...\n- 我们有一个来自任务操作的紧急请求。\n- 重复，这是一个A-1级别的案件。\n请查看文件。<i>[附件丢失]</i>\n\n消息日期...\n- 确认，网络已离线。做得好。\n- 接应会需要更长时间，直到代码工兵有空。\n\n消息日期...\n- 我们为没有早点回电道歉。整个星团已被列为检疫区。\n- 是的。就让它这样吧。- 另外，人工智能开发单位想和你谈谈。\n- 不。只是想知道，他们可能会遇到什么。\n\n消息日期...\n- 就是这个 - - 我们组织了一次当地运输。名为'<b>Taurus</b>'。\n集合点在北部巢穴基地。尽快到达那里。\n这条消息的末尾有一个便宜的悬浮飞船的蓝图。用工厂生成它。<i>[附件丢失]</i>\n\n- 是的。但报酬非常丰厚。- 别担心。\n\n消息日期...\n- 一艘兹瑞克斯战斗巡洋舰正驶向系统内。整套设备，连同一个无人机基地传送装置镜头。\n你的悬浮飞船状态如何？\n\n(( 消息结束 )),,,,,,
dialogue_0S0KGC8,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[离开控制台]</i>,,,,,,
dialogue_44gmuuS,>>,,,,,,,,,,>>,,,,,,
dialogue_iGCYe8j,"@d1\nMessage date...\n\n- We have an urgent request from MissionOps.\n@w1\n- Repeat, this is an A-1 case.\nPlease see file. <i>[Attachment missing]</i>",,,,,,,,,,@d1\n消息日期...\n\n- 我们有一个来自任务操作的紧急请求。\n@w1\n- 重复，这是一个A-1案例。\n请查看文件。 <i>[附件缺失]</i>,,,,,,
dialogue_GWaSauW,>>,,,,,,,,,,>>,,,,,,
dialogue_4iWimO0,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[离开控制台]</i>,,,,,,
dialogue_Su0u8Oe,"@d1\nMessage date...\n\n- Confirmed, network is offline. Well done.\n@w1\n- Pickup will take a bit longer, until the Code sappers are ready.",,,,,,,,,,@d1\n消息日期...\n\n- 确认，网络已离线。干得好。\n@w1\n- 接应会需要更长的时间，直到代码工兵准备好。,,,,,,
dialogue_aqSGuqC,>>,,,,,,,,,,>>,,,,,,
dialogue_840OaSa,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[离开控制台]</i>,,,,,,
dialogue_00eWKOK,"@d1\nMessage date...\n\n- We apologize for not calling back sooner. The whole star cluster has been listed for quarantine. \n@w1\n- Yes. Just leave this mess as it is.  - And, TechUnit wants to have a talk. \n@w1\n- No. Just to know, what they might be getting into.",,,,,,,,,,@d1\n消息日期...\n\n- 我们为没有早点回电话道歉。整个星团已经被隔离。\n@w1\n- 是的。就这样离开这个烂摊子。  - 而且，技术单位想谈谈。\n@w1\n- 不。只是想知道，他们可能会遇到什么。,,,,,,
dialogue_uMUWGGi,>>,,,,,,,,,,>>,,,,,,
dialogue_a80uua8,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[离开控制台]</i>,,,,,,
dialogue_OiG8W4K,@d1 \nMessage date...\n\n- This is it - - we organized a local transport. Called '<b>Taurus</b>'. Collection point is at northern Nest base. Get there asap.,,,,,,,,,,@d1 \n消息日期...\n\n- 就是这样 - - 我们组织了一次当地运输。叫做'<b>金牛座</b>'。集合点在北部巢穴基地。尽快到达那里。,,,,,,
dialogue_ueeUiKu,>>,,,,,,,,,,>>,,,,,,
dialogue_O8CT00u,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[离开控制台]</i>,,,,,,
dialogue_GK48qOm,@d1\n\n- Yes. But <b>really well </b>paid ones. - Don't worry.\n@w1\n- Blueprint for a cheap Hover Vessel is at the end of this message. Spawn it with the Factory.  <i>[Attachment missing]</i>,,,,,,,,,,@d1\n\n- 是的。但是<b>报酬非常</b>丰厚。- 不用担心。\n@w1\n- 便宜的悬浮飞船蓝图在这条消息的末尾。用工厂生成它。 <i>[附件缺失]</i>,,,,,,
dialogue_K40uCaK,>>,,,,,,,,,,>>,,,,,,
dialogue_CWmSKS0,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[离开控制台]</i>,,,,,,
dialogue_W0KiOuS,"@d1 \nMessage date...\n\n- A Zirax Battlecruiser is headed for in-system. The whole set, together with a Dronebase Teleporter Lens.\n\nWhat is the status of your Hover Vessel?",,,,,,,,,,@d1 \n消息日期...\n\n- 一艘兹瑞克斯战列巡洋舰正朝系统内前进。整个编队，连同一个无人机基地传送装置镜头。\n\n你的悬浮飞船状态如何？,,,,,,
dialogue_6KY40Gi,>>,,,,,,,,,,>>,,,,,,
dialogue_4qijmOG,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[离开控制台]</i>,,,,,,
dialogue_K4uumqc,@d1 \n\n(End of Messages),,,,,,,,,,@d1 \n\n（消息结束）,,,,,,
dialogue_eKueuas,<i>[Repeat]</i>,,,,,,,,,,<i>[重复]</i>,,,,,,
dialogue_CqeqSiV,<i>[ Leave Console ]</i>,,,,,,,,,,<i>[离开控制台]</i>,,,,,,
dialogue_KC4q8i0,What is it?,,,,,,,,,,这是什么？,,,,,,
dialogue_aume00S,@q0 @d1 You are back. @w1 Good.\nWe need to move.,,,,,,,,,,@q0 @d1 你回来了。@w1 很好。\n我们需要移动。,,,,,,
dialogue_40KYWwa,<color=#c0c0c0>The </color><color=#0080ff><b>Captain</b></color>,,,,,,,,,,<color=#c0c0c0>船长</color><color=#0080ff><b>Captain</b></color>,,,,,,
dialogue_4akWemF,"@q0 @d1\nWe should not stay here. - @w1  - Sensors are calm, but got <b><i>baad feelings</i></b>, and all that.\n@w2\nAnd <color=#ffffff>Galleon</color> is already exploding things.",,,,,,,,,,@q0 @d1\n我们不应该留在这里。- @w1  - 传感器平静，但有<b><i>不祥的预感</i></b>，等等。\n@w2\n而且<color=#ffffff>大帆船</color>已经在爆炸东西了。,,,,,,
dialogue_4u8ql5C,Why did you lock the Bunk door?,,,,,,,,,,为什么你要锁住舱门？,,,,,,
dialogue_XSa0K09,Can't be done much about it. <color=#ffffff>[Skip all]</color>,,,,,,,,,,对此无能为力。<color=#ffffff>[跳过全部]</color>,,,,,,
dialogue_Smu6C7S,<i>( Nevermind... )</i>,,,,,,,,,,<i>（算了...）</i>,,,,,,
dialogue_O0uWKWK,<i>( Nevermind... )</i>,,,,,,,,,,<i>（算了...）</i>,,,,,,
dialogue_aeOeeKa,<i>( Nevermind... )</i>,,,,,,,,,,<i>（算了...）</i>,,,,,,
dialogue_8800WWA,"So, why <i>did</i> you lock the bunk door?",,,,,,,,,,那么，你为什么<i>要</i>锁住舱门？,,,,,,
dialogue_MG8W4Om,"@q0 \n@d1 ... Don't want the <i><b>human </b></i>messing up the negotiations ...\n@w1\nBesides, @w1 \n- you weren't in much of a good shape anyway.",,,,,,,,,,@q0 \n@d1 ... 不希望<i><b>人类</b></i>搞砸谈判 ...\n@w1\n此外，@w1 \n- 你本来状况就不太好。,,,,,,
dialogue_88uqu4O,>>,,,,,,,,,,>>,,,,,,
dialogue_SG08SuC,<i>[ Leave ]</i>,,,,,,,,,,<i>[离开]</i>,,,,,,
dialogue_Ce8o1aK,... What happened to me?,,,,,,,,,,... 我发生了什么事？,,,,,,
dialogue_mCCqqaW,Where is the fleet now ?,,,,,,,,,,舰队现在在哪里？,,,,,,
dialogue_emu8SG8,... How did you find the fleet?,,,,,,,,,,... 你是怎么找到舰队的？,,,,,,
dialogue_Wu4eqqe,@q0 @d1\nAny <i>other </i>questions ?,,,,,,,,,,@q0 @d1\n还有其他<i>问题</i>吗？,,,,,,
dialogue_eiWOuSS,"OK, got it!   <i>[ <color=#ffffff>Close note</color> & end of invulnerability ]</i>",,,,,,,,,,好的，明白了！   <i>[ <color=#ffffff>关闭笔记</color> & 无敌状态结束 ]</i>,,,,,,
dialogue_mqqS04C,Topic: Armor durability,,,,,,,,,,主题：护甲耐久度,,,,,,
dialogue_sqSi4KW,"@d0<i> [ Note: You are currently <color=#ffffff>invulnerable </color>]</i>\n@w1 \n@d0 <color=#ff8000><u>Reminder</u>: In difficult battles, </color><color=#ffff00>keep track of your <b>Armor</b> <b>durability</b></color>.\n<i>(-> In your Inventory, hover with the mouse over the Armor icon, or check length of bar)</i>\n\nOnce your <color=#ffffff>Armor breaks, </color><b><color=#ffffff>bullet protection will fail.</color> </b>- - Repair it, if needed.",,,,,,,,,,@d0<i> [ 笔记：您当前 <color=#ffffff>无敌 </color>]</i>\n@w1 \n@d0 <color=#ff8000><u>提醒</u>：在困难的战斗中，</color><color=#ffff00>注意您的 <b>护甲</b> <b>耐久度</b></color>。\n<i>(-> 在您的背包中，鼠标悬停在护甲图标上，或检查条的长度)</i>\n\n一旦您的 <color=#ffffff>护甲破损， </color><b><color=#ffffff>子弹防护将失效。</color> </b> - - 如有需要，请修复它。,,,,,,
dialogue_4KeKGOw,"@d0<i> [ Note: You are currently <color=#ffffff>invulnerable </color>]</i>\n@w1 \n@d0 You just died and <b><color=#ff8000>dropped a part of your gear</color></b> in a backpack. - It will <b>vanish in </b><color=#ffffff><b>20 minutes.    </b> </color>\n\n<i>- When too close to enemies, use your </i><u><b>Tool Drone</b></u> <color=#00ff00>[ F5 ]</color> <i>to reach it.</i>\n<i>- How much items you drop can be adjusted in the game's <b>difficulty settings</b>.</i>",,,,,,,,,,您目前是<color=#ffffff>无敌</color>的。\n\n您刚刚死亡，并且<b><color=#ff8000>掉落了一部分装备</color></b>在一个背包中。- 它将在<b>20分钟内消失</b>。\n\n- 当靠近敌人时，使用您的</i><u><b>工具无人机</b></u> <color=#00ff00>[ F5 ]</color> <i>来取回它。</i>\n- 您可以在游戏的<b>难度设置</b>中调整掉落物品的数量。,,,,,,
dialogue_mqGCGaw,Topic: <color=#ffffff><b>Lost backpack</b></color>,,,,,,,,,,主题： <color=#ffffff><b>丢失的背包</b></color>,,,,,,
dialogue_umWC8GO,"OK, got it!   <i>[ <color=#ffffff>Close note</color> & end of invulnerability ]</i>",,,,,,,,,,好的，明白了！   <i>[ <color=#ffffff>关闭笔记</color> & 无敌状态结束 ]</i>,,,,,,
